experiment,seed,checkpoint,track,source,si_sdr,sdr,sir,sar,isr,params,inference_time_ms
baseline,42,checkpoints/baseline/best.pt,Detsky Sad - Walkie Talkie,bass,-9.472726821899414,-7.650181548361232,nan,-9.042580455723641,6.881429666983577,24300721,26070.710018044338
baseline,42,checkpoints/baseline/best.pt,Detsky Sad - Walkie Talkie,other,-5.608755111694336,1.1902954235081178,nan,-4.415310552426646,2.344876227887511,24300721,26070.710018044338
baseline,42,checkpoints/baseline/best.pt,Enda Reilly - Cur An Long Ag Seol,vocals,-1.5233451128005981,-7.033041984559281,nan,-0.11468680724966539,-18.50008999386719,24300721,25652.08687109407
baseline,42,checkpoints/baseline/best.pt,Enda Reilly - Cur An Long Ag Seol,drums,3.5293478965759277,1.7670588459574703,nan,4.295997069166573,9.602494019795449,24300721,25652.08687109407
baseline,42,checkpoints/baseline/best.pt,Enda Reilly - Cur An Long Ag Seol,bass,0.42962825298309326,-5.913858530489993,nan,-0.8533359615248669,2.624981304104827,24300721,25652.08687109407
baseline,42,checkpoints/baseline/best.pt,Enda Reilly - Cur An Long Ag Seol,other,-8.967643737792969,0.6048346999113532,nan,-5.546996429618069,1.3943111241058492,24300721,25652.08687109407
baseline,42,checkpoints/baseline/best.pt,Forkupines - Semantics,vocals,-6.726240158081055,-8.882884259579859,nan,-3.6952595667156647,1.8947841782234085,24300721,38892.631227034144
baseline,42,checkpoints/baseline/best.pt,Forkupines - Semantics,drums,6.9360198974609375,-1.6869987429441293,nan,6.633681294950807,0.9784393645211596,24300721,38892.631227034144
baseline,42,checkpoints/baseline/best.pt,Forkupines - Semantics,bass,-0.132406085729599,-6.128328724825112,nan,-0.767406244209587,0.7732730816047977,24300721,38892.631227034144
baseline,42,checkpoints/baseline/best.pt,Forkupines - Semantics,other,-3.077056884765625,1.14595868580008,nan,-1.575262092153024,1.9578733702869666,24300721,38892.631227034144
baseline,42,checkpoints/baseline/best.pt,Georgia Wonder - Siren,vocals,-4.439462184906006,-9.459522789220978,nan,-2.908804525854527,-0.25685289324850247,24300721,60624.60292095784
baseline,42,checkpoints/baseline/best.pt,Georgia Wonder - Siren,drums,3.192444086074829,-1.6617916046358427,nan,2.21716214891951,5.440503413204352,24300721,60624.60292095784
baseline,42,checkpoints/baseline/best.pt,Georgia Wonder - Siren,bass,4.214289665222168,-3.0933650641272865,nan,0.7241936090902666,1.722262743767441,24300721,60624.60292095784
baseline,42,checkpoints/baseline/best.pt,Georgia Wonder - Siren,other,-3.991546869277954,0.9510739400906021,nan,-3.8994322916042936,1.734524893010201,24300721,60624.60292095784
baseline,42,checkpoints/baseline/best.pt,Girls Under Glass - We Feel Alright,vocals,-8.74405288696289,-11.95961661879631,nan,-7.331039339560514,2.4402142707347982,24300721,43803.56438003946
baseline,42,checkpoints/baseline/best.pt,Girls Under Glass - We Feel Alright,drums,2.5035974979400635,-0.23838917018106687,nan,1.3312946795633749,12.941492811024224,24300721,43803.56438003946
baseline,42,checkpoints/baseline/best.pt,Girls Under Glass - We Feel Alright,bass,-1.8355424404144287,-5.796161999177524,nan,-2.126680011350294,4.905764778132939,24300721,43803.56438003946
